eval_count,CS_BO_median,CS_BO_q25,CS_BO_q75,CS_BO_n_runs,WS_BO_median,WS_BO_q25,WS_BO_q75,WS_BO_n_runs,HGS_BO5_median,HGS_BO5_q25,HGS_BO5_q75,HGS_BO5_n_runs,HGS_BO10_median,HGS_BO10_q25,HGS_BO10_q75,HGS_BO10_n_runs
1,6.697499911701373,1.7312881722608813,47.17912145232223,180,17.140791377815397,4.666618019364376,21.552276827146546,180,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
2,5.086993590248683,1.7312881722608813,11.295613480854453,180,10.709209362187849,1.52266487030501,16.954687260594064,180,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
3,5.086993590248683,1.7312881722608813,7.660388350131763,180,10.709209362187849,1.52266487030501,16.954687260594064,180,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
4,1.5700379704465224,0.5280505602106512,3.0576635946634707,180,10.709209362187849,1.52266487030501,16.954687260594064,180,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
5,0.8775736824690942,0.4321985275503831,1.6529025401237385,180,10.709209362187849,1.52266487030501,16.954687260594064,180,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
6,0.8571512502066062,0.4321985275503831,1.5979417449478532,180,2.751851135002631,0.6226876994129703,11.214088722865835,180,,,,,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
7,0.631917558388778,0.33753961393003956,1.1507734985141083,180,2.751851135002631,0.6226876994129703,6.514761258934962,180,,,,,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
8,0.5925752359036001,0.2748864907270587,0.8716889331341351,180,2.751851135002631,0.6226876994129703,5.849106181976262,180,,,,,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
9,0.5906593494525418,0.26006615571445696,0.8680649683222232,180,1.3021646994729268,0.45324124525043863,3.0357821037240083,180,,,,,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
10,0.5906593494525418,0.25922070009516185,0.8680649683222232,180,0.8571512502066062,0.43184320700132717,1.6529025401237385,180,,,,,0.3571358285816328,0.17337594596509032,0.5659984869131707,60.0
11,0.5163895941384113,0.21823812050173808,0.7061119624768784,180,0.8380246549656536,0.43184320700132717,1.5979417449478532,180,,,,,,,,
12,0.5130077885663316,0.21823812050173808,0.7046576967986838,180,0.631917558388778,0.3370025213021665,1.1507734985141083,180,,,,,,,,
13,0.4962846696275258,0.20354044193449894,0.6829285567927744,180,0.5925752359036001,0.2748864907270587,0.8716889331341351,180,,,,,,,,
14,0.48817132425680243,0.20261314331965982,0.6387770649119745,180,0.5180526521110717,0.2703209784525603,0.8358461160487067,180,,,,,,,,
15,0.4649978443068066,0.19464088782837624,0.626066598831138,180,0.48817132425680243,0.265465915530089,0.8078142858347038,180,,,,,,,,
16,0.44927058948209797,0.18838709639751902,0.61926998074595,180,0.4825075420806473,0.2199837434536899,0.7583766701503938,180,,,,,,,,
17,0.44219634538518526,0.18838709639751902,0.6034037973823919,180,0.4579027001651852,0.2029048653044575,0.7143770844679247,180,,,,,,,,
18,0.44219634538518526,0.18838709639751902,0.602258954856874,180,0.44669875633246503,0.19794193844813163,0.6187778909133107,180,,,,,,,,
19,0.4402631087160649,0.18588332373925598,0.6005516843340715,180,0.4394046278488475,0.1930415019700606,0.6187778909133107,180,,,,,,,,
20,0.4402631087160649,0.1798800469871503,0.6004982632158387,180,0.43877598388933736,0.18743862970657627,0.6059492772571636,180,,,,,,,,
21,0.4357804063149924,0.17958041548671297,0.5961698141416136,180,0.43877598388933736,0.18212617695901012,0.5950997797926445,180,,,,,,,,
22,0.4347976943996186,0.17869027541889632,0.591062350009262,180,0.43800791139185846,0.1779561569233583,0.5950997797926445,180,,,,,,,,
23,0.4251554762843317,0.17497847877515915,0.591062350009262,180,0.43800791139185846,0.1772935736649215,0.5950997797926445,180,,,,,,,,
24,0.416974538377062,0.17497847877515915,0.56988499916783,180,0.4367686842478252,0.1772935736649215,0.5950997797926445,180,,,,,,,,
25,0.416974538377062,0.17374536698180768,0.5662399456761307,180,0.43248542043916693,0.1772935736649215,0.5950997797926445,180,,,,,,,,
26,0.41199765765901786,0.17374536698180768,0.5662399456761307,180,0.43248542043916693,0.1772935736649215,0.5884517953173127,180,,,,,,,,
27,0.41199765765901786,0.17291460891823088,0.5660470112979993,180,0.43248542043916693,0.1765250483354801,0.5868423010746976,180,,,,,,,,
28,0.41199765765901786,0.17154499598161316,0.5660470112979993,180,0.41934136190190563,0.17332805922651903,0.5868423010746976,180,,,,,,,,
29,0.4079965526527157,0.17058209100347807,0.5657388821968061,180,0.41934136190190563,0.17332805922651903,0.5868423010746976,180,,,,,,,,
30,0.4072134814224472,0.17058209100347807,0.5657388821968061,180,0.40747471115575007,0.1706679983578232,0.5667218990304874,180,,,,,,,,
